bus_name,gen_name,point,fuel,capacity
LA GRANGE 4,FAYETTE_POWER_U2_J1,POINT (-96.738 29.897696281486102),ST,372.0
BRYAN 1 0,DANSBY_GT3,POINT (-96.45 30.71551025762),GT,6000.0
PEARSALL 4,PEARSALL_ST4,POINT (-99.07930000000002 28.904653916332006),ST,40.0
CHANNELVIEW 1 12,CHANNELVIEW_COGENERATION_PLANT_CC5,POINT (-95.10269000000001 29.799544329941995),CC,660.0
NEW BRAUNFELS 1 4,HAYS_ENERGY_FACILITY_GT1,POINT (-98.01776 29.73063536424969),GT,313.0
PASADENA 3 5,TEXAS_CITY_POWER_CC3,POINT (-95.04076 29.614675988265414),CT,145.0
WHARTON 1 5,COLORADO_BEND_ENERGY_CENTER_2_CC2,POINT (-96.0557 29.268174212536003),CC,330.0
CHANNELVIEW 1 3,CVC_CHANNELVIEW_GT1,POINT (-95.10269000000001 29.810789989286896),ST,187.0
ALVIN 0,AMOCO_UNIT8,POINT (-95.18288 29.422491490378206),CC,207.0
POOLVILLE 3,WISE_TRACTEBEL_POWER_CC2,POINT (-97.89770000000001 33.03642245621629),CT,452.0
MCKINNEY 1 4,RAY_OLINGER_STG_U2,POINT (-96.59662600000001 33.158204448372885),ST,172.0
POINT COMFORT 2 7,FORMOSA_GT5,POINT (-96.5291 28.66248464197989),GT,138.0
NEW BRAUNFELS 1 5,HAYS_ENERGY_FACILITY_GT2,POINT (-98.01776 29.72938490873369),GT,318.0
HOUSTON 5 8,TH_WARTON2_CC2,POINT (-95.52556 29.9289091401206),CT,118.0
OILTON 0,OILTON_1,POINT (-98.99447800000002 27.48166864386469),WT,110.4
BAYTOWN 3 2,Troop Solar,POINT (-94.992237 29.745703180288093),PVe,7.5
ANGELINA_SOLAR 1,Angelina Solar,POINT (-94.86 31.37),PVe,150.0
TREVINO_SOLAR 1,Trevino Solar,POINT (-100.3 28.65),PVe,216.0
MERKEL 2 1,MERKEL_2,POINT (-100.050789 32.29558118049491),WT,144.72
BIG SPRING 1 1,BIG SPRING_1,POINT (-101.11309999999999 31.97341537235251),WT,239.4
BIG SPRING 4 1,BIG SPRING_6,POINT (-101.299037 31.978464735418992),WT,108.0
PORT LAVACA 2,Spray 2 Solar,POINT (-96.8207 28.554100188226396),PVe,29.1
BEEVILLE 0,Brightside Solar,POINT (-97.70162 28.401378801973113),PVe,50.0
ANGUS_SOLAR,Angus Solar,POINT (-97.26 31.69),PVe,113.0
SARITA 1 2,SARITA_3,POINT (-97.776567 27.206248240457086),WT,225.6
OWENS_SOLAR,Owens Solar,POINT (-97.62 31.85),PVe,200.0
BRACKETTVILLE 1 1,Zier Solar,POINT (-100.380289 29.315549244833004),PVe,120.0
SNYDER 1 1,SNYDER_1,POINT (-100.9916 32.70752689988102),WT,156.6
MOUNT PLEASANT 1 3,Delilah Solar 1,POINT (-95.02910000000001 33.078880759025),PVe,700.0
CAUSE_SOLAR,Cause Solar,POINT (-98.46 29.25),PVe,40.7
WINGATE 3,WINGATE_4,POINT (-100.04452000000002 32.19193908238331),WT,294.2
PANHANDLE 1 0,PANHANDLE_7,POINT (-101.36377799999998 35.43691198179582),WT,218.04
HAMLIN 1,Anson Solar,POINT (-100.1 32.85),PVe,200.0
BASALT_SOLAR,Basalt Solar,POINT (-99.78 29.21),PVe,20.0
ROCHESTER 1,Quantum,POINT (-99.62 33.29),PVe,313.2
O DONNELL 2 1,O DONNELL_3,POINT (-101.575017 32.91314896301149),WT,216.0
BRYSON 1 2,BRYSON_1,POINT (-98.352469 33.19299841828041),WT,180.0
SUN_VALLEY 2,Sun Valley 2,POINT (-96.98 31.57),PVe,115.0
MISSOURI CITY 2 0,Cutlass Solar,POINT (-95.553828 29.47091068690631),PVe,300.0
ARCHER 1 1,ARCHER_2,POINT (-98.4964 33.482517910917615),WT,81.12
MUENSTER 1 1,MUENSTER_1,POINT (-97.42480599999999 33.72028105094409),WT,135.0
FRONTON_SOLAR,Fronton Solar,POINT (-98.9 26.49),PVe,200.0
NOTREES 1,Sisters Solar,POINT (-102.54 31.81),PVe,1219.23
BAYTOWN 3 4,Storm Solar,POINT (-94.992237 29.743202629355608),PVe,21.22
ROSCOE 4 1,ROSCOE_4,POINT (-100.4797 32.2209560400834),WT,96.6
GOLDTHWAITE 1 4,GOLDTHWAITE_1,POINT (-98.454067 31.36719664044091),WT,180.0
STARR_SOLAR,Starr Solar Ranch,POINT (-98.98 26.49),PVe,135.99
PRICKLY_PEAR,Prickly Pear,POINT (-100.54 31.01),PVe,102.5
BIG SPRINGS 1,BIG SPRINGS_1,POINT (-101.2164 32.0260294673358),WT,149.04
ODESSA 1 10,Greyhound Solar 2,POINT (-102.2904 31.834183240019108),PVe,500.0
ROSCOE 1 1,ROSCOE_5,POINT (-100.57610000000001 32.48095793986279),WT,236.4
WINGATE 4,WINGATE_3,POINT (-100.04452000000002 32.18889246613329),WT,294.2
ALBANY 1 5,ALBANY_1,POINT (-99.4102 32.75543381771269),WT,198.72
PFLUGERVILLE_SOLAR 2,Pflugerville 2 Solar,POINT (-97.58 30.41),PVe,120.0
FORSAN 2,FORSAN_2,POINT (-101.395 32.1247951475205),WT,70.56
SAMSON SOLAR 3 0,Tyson Nick Solar,POINT (-95.7 33.65),PVe,90.0
ELROND,Elrond,POINT (-99.58 33.09),PVe,313.2
THOMPSONS 1,Arroyo Del Bisonte Solar,POINT (-95.6167 29.480292918965713),PVe,300.0
HARLINGEN 2 0,Vancourt,POINT (-97.734596 26.24637449421479),PVe,50.0
DUBLIN 1 1,DUBLIN_1,POINT (-98.472511 32.32568308312928),WT,72.0
STERLING CITY 1 2,STERLING CITY_3,POINT (-100.9155 31.907001572555895),WT,198.75
WAKE_SOLAR,Wake Solar,POINT (-101.18 33.45),PVe,150.0
CITRINE_SOLAR,Citrine Solar,POINT (-100.38 34.01),PVe,45.0
ROSCOE 3 0,ROSCOE_3,POINT (-100.6391 32.392220519816696),WT,151.8
OLNEY 1 2,OLNEY_1,POINT (-98.69934399999998 33.364821351362195),WT,270.0
ODESSA 1 10,Tri-County Solar,POINT (-102.2904 31.834183240019108),PVe,177.75
PANHANDLE 5 1,PANHANDLE_1,POINT (-101.53640000000001 35.33781989743399),WT,12.0
BLUE_BELL 2 0,Blue Bell Solar II,POINT (-100.78 31.89),PVe,101.25
STERLING CITY 2 2,STERLING CITY_4,POINT (-100.787789 31.93590609668371),WT,89.76
LANCASTER 1 0,Vision Solar,POINT (-96.74856100000001 32.56031669582519),PVe,127.2
FIGHTING_JAYS,Fighting Jays Solar,POINT (-95.74 29.49),PVe,356.55
SAMSON SOLAR 3 0,Samson Solar 3,POINT (-95.7 33.65),PVe,200.0
THICKGRASS SOLAR,Thickgrass Solar,POINT (-95.94 28.85),PVe,148.7
BLUE_JAY_SOLAR,Blue Jay Solar,POINT (-95.98 30.65),PVe,210.0
CHARBRAY_SOLAR,Charbray Solar,POINT (-100.82 32.33),PVe,200.0
NOLAN 1,NOLAN_1,POINT (-100.09640000000002 32.2718209937277),WT,204.24
SPANISH CROWN 1,Spanish Crown,POINT (-97.26 31.13),PVe,100.0
ROUND ROCK 1 5,Hover Solar,POINT (-97.688846 30.5468133145438),PVe,10.42
GLOVE_SOLAR,Glove Solar,POINT (-99.7 29.21),PVe,100.0
PRESIDIO 1 1,River Solar,POINT (-104.2964 29.583565207190606),PVe,10.0
RADIAN_INCREASE 1,Radian Increase,POINT (-98.9 31.81),PVe,61.2
CUSHING 1 2,Giant Solar,POINT (-94.88804 31.8160732192637),PVe,85.5
SAN PERLITA 0,SAN PERLITA_1,POINT (-97.68031099999999 26.46883290649291),WT,243.6
ARCHER 2 1,ARCHER_1,POINT (-98.57834400000002 33.48029558350581),WT,180.0
RAYOS_DEL_SOL,Rayos Del Sol,POINT (-97.5 26.29),PVe,150.0
NOTREES 1,Oberon Solar,POINT (-102.54 31.81),PVe,180.0
CONIGLIO_SOlAR,Coniglio Solar,POINT (-96.06 33.37),PVe,135.0
PORT LAVACA 3,Smoke Solar,POINT (-96.8207 28.550938022513513),PVe,7.5
WHITE DEER 1,WHITE DEER_1,POINT (-101.2403 35.4635077026973),WT,96.0
MCCAMEY 2 0,MCCAMEY_1,POINT (-102.2163 31.13303722266159),WT,90.0
ROUND ROCK 1 3,Drama Solar,POINT (-97.688846 30.54929357972971),PVe,5.5
SYNDER 2,SYNDER_2,POINT (-100.735349 32.72339503452461),WT,144.0
HOLSTEIN 1,Holstein Solar,POINT (-100.3 32.49),PVe,204.0
STERLING CITY 1 3,STERLING CITY_7,POINT (-100.9155 31.903945456230797),WT,198.75
BLACKWELL 1,BLACKWELL_1,POINT (-100.26500000000001 32.1790582643664),WT,203.4
SWEETWATER 2 0,SWEETWATER_1,POINT (-100.4129 32.28474629503489),WT,162.0
LORAINE 1 1,LORAINE_1,POINT (-100.7408 32.421547422785686),WT,90.0
FLUORITE_SOLAR,Fluorite Solar,POINT (-99.66 29.25),PVe,25.0
MISAE_SOLAR 2 0,Misae Solar II,POINT (-100.06 34.45),PVe,517.35
BRACKETTVILLE 1 1,Piano Solar,POINT (-100.380289 29.315549244833004),PVe,29.7
BRACKETTVILLE 2 1,BRACKETTVILLE_1,POINT (-100.205567 29.218228035189206),WT,119.76
PANHANDLE 4 2,PANHANDLE_5,POINT (-101.24045600000001 35.41503183522809),WT,261.6
PORT LAVACA 5,Toast Solar,POINT (-96.8207 28.5446134062122),PVe,4.4
MISAE_SOLAR 1 1,Misae Solar,POINT (-100.18 34.37),PVe,240.8
ROSCOE 2 2,ROSCOE_6,POINT (-100.6538 32.45649079710721),WT,250.8
JAYTON 3,JAYTON_1,POINT (-100.511567 32.953864265692594),WT,36.0
BAYTOWN 3 6,Feign Solar,POINT (-94.992237 29.740702016065196),PVe,21.22
PANHANDLE 2 2,PANHANDLE_2,POINT (-101.298233 35.22877635605561),WT,240.72
FORT STOCKTON 1 1,FORT STOCKTON_1,POINT (-102.50220800000001 30.7532409481075),WT,177.0
LA JOYA 0,Half Moon Solar,POINT (-98.485493 26.236354937453513),PVe,151.2
MILLHOUSE_SOLAR,Millhouse Solar,POINT (-98.1 27.73),PVe,75.0
VAN 0,Kellam Solar,POINT (-95.63497699999999 32.52909875219931),PVe,100.0
NAZARETH_SOLAR 0,Nazareth Solar,POINT (-102.1 34.49),PVe,201.0
WINGATE 2,WINGATE_1,POINT (-100.04452000000002 32.194985596652316),WT,294.2
LUFKIN 1 1,Blast Solar,POINT (-94.740011 31.346619156679417),PVe,33.0
GSE_ELEVEN,GSE Eleven,POINT (-95.86 32.57),PVe,135.0
TRENT 1 1,TRENT_1,POINT (-100.232052 32.41110695841859),WT,180.0
BAYTOWN 3 5,Arena Solar,POINT (-94.992237 29.74195233050502),PVe,21.22
STERLING CITY 1 4,STERLING CITY_1,POINT (-100.9155 31.900889238421307),WT,198.75
HOPKINS 1,Hopkins,POINT (-95.06 33.21),PVe,320.0
BIG SPRING 3 1,BIG SPRING_5,POINT (-101.447785 32.0878612318491),WT,171.0
OBSIDIAN_SOLAR,Obsidian Solar,POINT (-100.34 34.01),PVe,60.0
TAFT 1 0,TAFT_2,POINT (-97.2859 27.989442342071293),WT,240.12
MUSTANG_CREEK,Mustang Creek Solar,POINT (-96.34 28.77),PVe,150.0
TEMPLE 3 0,Smithland Texas Solar,POINT (-97.36462600000002 31.1317221372152),PVe,200.53
MIAMI 0,MIAMI_1,POINT (-100.527811 35.648038404923994),WT,346.32
ARROYO_SOLAR,Arroyo Solar,POINT (-97.62 26.29),PVe,180.0
SABINAL 1,Kochab Solar,POINT (-100.02 29.17),PVe,204.0
JUNO_SOLAR,Juno Solar,POINT (-101.74 32.65),PVe,495.0
COLORADO CITY 1,Flatland Solar,POINT (-100.9 32.33),PVe,147.0
GOLDSMITH 0,GOLDSMITH_1,POINT (-102.819333 31.988893517494812),WT,43.2
MISSION 4 0,Diamondback Solar,POINT (-98.365366 26.222276155465096),PVe,201.6
SHORTON 2,Shorthorn 2 Solar,POINT (-100.06 34.25),PVe,200.0
RALLS 1 4,RALLS_2,POINT (-101.37740000000001 33.64837540056509),WT,180.0
EUNICE_SOLAR 0,Prospero Solar II,POINT (-102.58 32.45),PVe,250.0
SEBASTIAN 1 0,SEBASTIAN_2,POINT (-97.65780000000001 26.342467843903417),WT,241.92
SHORTON 2,Opal Solar,POINT (-100.06 34.25),PVe,45.0
RAMSEY_SOLAR,Ramsey Solar,POINT (-96.14 29.01),PVe,514.0
BIG SPRING 6 2,Bonus Solar,POINT (-101.418836 32.254155989047106),PVe,230.0
FRYE_SOLAR 0,Frye Solar,POINT (-102.02 34.41),PVe,500.0
RIESEL 1 2,Wang Solar,POINT (-96.944549 31.458257298444906),PVe,120.0
SWEETWATER 3 0,SWEETWATER_3,POINT (-100.3757 32.34111708180161),WT,109.8
PANHANDLE 5 2,PANHANDLE_6,POINT (-101.53640000000001 35.33488312254741),WT,95.4
CHRISTOVAL 2,CHRISTOVAL_1,POINT (-100.66622 31.072331201834395),WT,180.0
SPINEL_SOLAR,Spinel Solar,POINT (-99.1 29.29),PVe,30.0
ROUND ROCK 1 2,Scene Solar,POINT (-97.688846 30.55053368856009),PVe,22.5
SWEETWATER 1 0,SWEETWATER_2,POINT (-100.1196 32.4020211797149),WT,121.44
MCCAMEY 1 1,Ponwar Solar Farm,POINT (-102.23090000000002 31.20304177581981),PVe,180.0
TULSITA_SOLAR 1,Tulsita Solar,POINT (-97.22 28.81),PVe,258.35
MILFORD 0,Pitts Dudik Solar,POINT (-96.98347000000001 32.131416024729006),PVe,90.0
VERNON 1 1,VERNON_1,POINT (-99.36112200000001 34.2773582406679),WT,162.48
CADDO MILLS 0,Signal Ranch,POINT (-96.21853400000002 33.0638704119112),PVe,70.0
ABILENE 2 2,ABILENE_2,POINT (-99.48020000000001 32.61574558201621),WT,240.0
JACKSBORO 1 2,JACKSBORO_1,POINT (-98.325052 33.0491124429784),WT,144.0
STILLWATER_SOLAR,Stillwater Solar,POINT (-97.62 27.85),PVe,144.0
GRANGER 0,Garnet Solar,POINT (-97.410285 30.708380872340808),PVe,20.0
FLUVANNA 1 1,FLUVANNA_1,POINT (-101.215797 32.91259657537129),WT,100.8
BAYTOWN 3 7,Glass Solar,POINT (-94.992237 29.7394516860367),PVe,42.45
DISCO_SOLAR,Disco Solar,POINT (-99.62 33.01),PVe,100.0
TUSOCOLA 0,TUSOCOLA_1,POINT (-99.99826700000001 32.2978031716202),WT,136.8
PORT LAVACA 4,Rebel Solar,POINT (-96.8207 28.547775761839898),PVe,7.5
IRAAN 2 1,IRAAN_1,POINT (-102.19783300000002 30.9183420234792),WT,99.0
STERLING CITY 2 1,STERLING CITY_5,POINT (-100.787789 31.93896115120671),WT,89.76
DOVE_RUN,Dove Run,POINT (-98.14 27.25),PVe,101.25
RALLS 1 3,RALLS_1,POINT (-101.37740000000001 33.65137218175279),WT,12.0
ODESSA 6 1,Oxy Solar,POINT (-102.62 31.97),PVe,16.2
ANDREWS 1,Prospero Solar,POINT (-102.66 32.37),PVe,300.0
SEBASTIAN 2 1,SEBASTIAN_1,POINT (-97.56410000000001 26.3242668292268),WT,240.0
TAFT 2 1,TAFT_1,POINT (-97.44996 27.936055633502797),WT,216.0
NORTON_SOLAR,Norton Solar,POINT (-100.26 31.97),PVe,125.0
ROUND ROCK 1 1,Photo Solar,POINT (-97.688846 30.551773781548402),PVe,1.05
BIG SPRING 5 1,BIG SPRING_2,POINT (-101.384733 32.1915068619678),WT,41.16
FLUVANNA 2 2,FLUVANNA_2,POINT (-101.135184 32.9350898403737),WT,192.0
MERKEL 1 2,MERKEL_1,POINT (-100.164386 32.305290171689286),WT,279.0
HALLMARK_SOLAR,Hallmark Solar,POINT (-96.02 33.21),PVe,43.0
PRESIDIO 1 1,Ridge Solar,POINT (-104.2964 29.583565207190606),PVe,10.1
PINE_FOREST_SOLAR 1,Pine Forest Solar,POINT (-95.34 33.21),PVe,299.25
SARITA 3 1,SARITA_4,POINT (-97.48609999999998 27.0637885794484),WT,241.92
ARMSTRONG 1 2,ARMSTRONG_1,POINT (-97.58680000000001 26.97463425193141),WT,339.84
SUN_VALLEY 1,Sun Valley,POINT (-96.86 31.57),PVe,135.0
ODESSA 5 1,Greyhound Solar,POINT (-102.5 31.81),PVe,600.0
ZORRO_SOLAR,El Zorro Solar,POINT (-98.82 27.49),PVe,253.3
FORT STOCKTON 2 0,FORT STOCKTON_3,POINT (-102.34662799999998 30.801087757718893),WT,180.0
INDIGO_SOLAR,Indigo Solar,POINT (-100.18 32.73),PVe,125.0
IRAAN 1 1,IRAAN_2,POINT (-102.0831 30.898495183075006),WT,192.6
SYNDER 1,SYNDER_1,POINT (-100.735349 32.726423627522806),WT,75.6
ROCHESTER 1,Quantum Increase,POINT (-99.62 33.29),PVe,61.2
SANDINE_SOLAR,Sandine Solar,POINT (-100.3 34.01),PVe,30.0
NEWGULF 1,San Bernard Solar,POINT (-95.86370000000001 29.257618689509805),PVe,100.0
PHOENIX_SOLAR,Phoenix Solar,POINT (-96.18 33.53),PVe,82.3
ROSELAND_SOLAR,Roseland,POINT (-96.14 31.37),PVe,500.0
WICHITA FALLS 1 1,Bacon Switch Solar,POINT (-98.4571 33.90732463442219),PVe,180.0
LORAINE 1 2,LORAINE_3,POINT (-100.7408 32.418508516721616),WT,90.0
SOLEMIO 1,Solemio,POINT (-95.62 33.09),PVe,79.8
CORAZON_SOLAR,Corazon Solar,POINT (-98.74 27.49),PVe,200.0
DAWN_SOLAR 0,Dawn Solar,POINT (-102.5 34.89),PVe,515.66
GREEN_HOLLY,Green Holly Solar,POINT (-101.82 32.53),PVe,413.6
ROUND ROCK 1 6,Straw Solar,POINT (-97.688846 30.545573158189093),PVe,30.52
LENORAH 1,LENORAH_1,POINT (-101.83310000000002 32.21322024953109),WT,144.0
GOLDSMITH 0,GOLDSMITH_2,POINT (-102.819333 31.988893517494812),WT,183.0
ROSCOE 5 2,ROSCOE_1,POINT (-100.51950000000001 32.3061147297888),WT,289.2
STERLING CITY 1 5,STERLING CITY_2,POINT (-100.9155 31.897832919132693),WT,198.75
BAYTOWN 3 3,Mercy Solar,POINT (-94.992237 29.744452912616804),PVe,21.22
O DONNELL 1 1,O DONNELL_2,POINT (-101.636978 32.9203453324632),WT,253.2
BIG SPRING 6 1,Error Solar,POINT (-101.418836 32.25720041881092),PVe,1.5
IMPACT_SOLAR,Impact Solar,POINT (-95.14 33.09),PVe,197.0
CASTRO_SOLAR 0,Castro Solar,POINT (-102.02 34.49),PVe,212.95
ANGLETON 0,Myrtle Solar,POINT (-95.43928800000002 29.16863423160271),PVe,240.0
FORSAN 1,FORSAN_3,POINT (-101.395 32.1278439073388),WT,146.28
GOODRANCH_SOLAR,Goodranch Solar,POINT (-101.34 32.65),PVe,200.0
EUNICE_SOLAR 0,Eunice Solar,POINT (-102.58 32.45),PVe,403.8
BLUE_BELL,BlueBell Solar,POINT (-100.66 31.89),PVe,30.0
BRACKETTVILLE 1 1,Irony Solar,POINT (-100.380289 29.315549244833004),PVe,39.6
PARIS 1 0,Samson Solar 2,POINT (-95.57199999999999 33.62480490119471),PVe,200.0
WAGYU_SOLAR 1,Wagyu Solar,POINT (-95.66 29.17),PVe,121.9
MARKUM_SOLAR,Markum Solar,POINT (-97.38 31.69),PVe,134.89
CROWDED_STAR_SOLAR,Crowded Star Solar,POINT (-100.18 32.85),PVe,400.0
QUEEN_SOLAR,Queen Solar,POINT (-102.26 31.41),PVe,400.0
HILL_SOLAR,Hill Solar,POINT (-97.22 32.01),PVe,80.0
FRENCH_G_SOLAR 1,French Goldston Solar,POINT (-98.62 33.13),PVe,120.0
HERMLEIGH 3,HERMLEIGH_1,POINT (-100.66020000000002 32.57267420947051),WT,298.8
BRUNI 1 1,BRUNI_1,POINT (-98.883678 27.569728758356298),WT,180.0
SAMSON SOLAR 1 0,Samson Solar,POINT (-95.5 33.65),PVe,200.0
SWEETWATER 4 1,SWEETWATER_4,POINT (-100.33530000000002 32.347675224722),WT,45.0
WESTORIA_SOLAR 1,Westoria Solar,POINT (-95.54 29.17),PVe,200.0
OXBOW_SOLAR,Oxbow Solar,POINT (-101.46 32.65),PVe,225.0
HOLSTEIN 2,Holstein 2 Solar,POINT (-100.38 32.49),PVe,100.0
BIG SPRING 2 0,BIG SPRING_4,POINT (-101.2893 31.9299895992278),WT,138.6
SARITA 2 1,SARITA_1,POINT (-97.5283 27.113291412381788),WT,241.2
ABILENE 1 4,ABILENE_1,POINT (-99.6438 32.49238831429049),WT,240.0
ROUND ROCK 1 4,Tooth Solar,POINT (-97.688846 30.548053455057502),PVe,7.95
PANHANDLE 3 1,PANHANDLE_4,POINT (-101.574972 35.373563420950795),WT,95.52
ANDREWS 1,Lapetus Solar 2,POINT (-102.66 32.37),PVe,100.0
MARBLE FALLS 2 4,MARBLE FALLS_6,POINT (-98.3186 30.533521834716794),HY,223.6
AMISTAD_HYDRO 1 1,Amistad 1,POINT (-101.05602 29.44952),HY,33.0
BUCHANAN DAM 1 3,Buchanan Dam 3,POINT (-98.376422 30.7254098931674),HY,45.0
MARBLE FALLS 2 3,MARBLE FALLS_5,POINT (-98.3186 30.536622580674894),HY,72.0
CUERO 1 6,CUERO_7,POINT (-97.322036 29.100621673771613),HY,4.32
MARSHALL FORD 1,Marshall Ford 1,POINT (-97.891423 30.375404366823716),HY,34.5
CUERO 1 2,CUERO_5,POINT (-97.322036 29.11320314875079),HY,2.88
MARBLE FALLS 2 5,MARBLE FALLS_4,POINT (-98.3186 30.530420989777507),HY,223.6
WHITNEY DAM 2,Whitney Dam 2,POINT (-97.35770000000001 31.863285169870892),HY,25.0
CLIFTON 1 1,CLIFTON_1,POINT (-97.3631 31.85640550109459),HY,50.16
MARSHALL FORD 3,Marshall Ford 3,POINT (-97.891423 30.375404366823716),HY,34.5
BUCHANAN DAM 1 2,BUCHANAN DAM_1,POINT (-98.38182200000001 30.7153517470437),HY,65.88
MARBLE FALLS 1 2,MARBLE FALLS_1,POINT (-98.25399300000001 30.539011108264802),HY,26.4
AMISTAD_HYDRO 1 2,Amistad 2,POINT (-101.05602 29.44952),HY,33.0
AUSTIN 3 4,AUSTIN_1,POINT (-97.793768 30.2856526110842),HY,129.6
MARBLE FALLS 1 1,MARBLE FALLS_3,POINT (-98.25399300000001 30.542111678978998),HY,26.4
INKS 1,Inks Hydro,POINT (-98.376422 30.7254098931674),HY,15.0
CUERO 1 7,CUERO_3,POINT (-97.322036 29.097476064705695),HY,2.88
AUSTIN 3 3,AUSTIN_2,POINT (-97.793768 30.286896074684893),HY,21.6
MARBLE FALLS 2 6,MARBLE FALLS_2,POINT (-98.3186 30.527320045862904),HY,223.6
CUERO 1 9,CUERO_2,POINT (-97.322036 29.091184558234406),HY,3.36
LEWISVILLE 1 2,LEWISVILLE_1,POINT (-96.962366 33.0536891018139),HY,84.0
LEWISVILLE 1 1,LEWISVILLE_2,POINT (-96.962366 33.0548960437181),HY,3.36
CUERO 1 8,CUERO_8,POINT (-97.322036 29.094330359524495),HY,2.88
FALCON HEIGHTS 1 3,FALCON HEIGHTS_1,POINT (-99.1606 26.53737229575089),HY,79.2
CUERO 1 1,CUERO_9,POINT (-97.322036 29.116348277141906),HY,1.8
CUERO 1 5,CUERO_1,POINT (-97.322036 29.103767186715604),HY,7.2
BUCHANAN DAM 1 1,BUCHANAN DAM_2,POINT (-98.38182200000001 30.718446672987206),HY,18.0
FALCON HEIGHTS 1 1,FALCON HEIGHTS_2,POINT (-99.1606 26.543813545452014),HY,37.8
FALCON HEIGHTS 1 2,FALCON HEIGHTS_3,POINT (-99.1606 26.540592965811413),HY,11.52
MARSHALL FORD 2,Marshall Ford 2,POINT (-97.891423 30.375404366823716),HY,34.5
CUERO 1 3,CUERO_4,POINT (-97.322036 29.110057924211805),HY,1.8
CUERO 1 4,CUERO_6,POINT (-97.322036 29.10691260353121),HY,2.88
