bus_name,gen_name,point,fuel,capacity
WICHITA FALLS 2 1,WICHITA_FALLS_COGEN_CC6,POINT (-98.5858 33.8497942844651),CT,82.0
ALVIN 0,AMOCO_UNIT6,POINT (-95.18288 29.422491490378206),CC,135.0
DALLAS 1 8,FORNEY_ENERGY_CENTER2_CC2,POINT (-96.63940400000001 32.63496964093729),CT,780.0
SHERMAN 1 4,PANDA_SHERMAN_CC3,POINT (-96.60529300000002 33.56382645015371),CC,928.0
FAIRFIELD 1 5,FREESTONE_ENERGY_CENTER1_CC3,POINT (-96.1005 31.871594225920308),CC,64079.0
ODESSA 1 7,QUAIL_RUN_ENERGY2_CC2,POINT (-102.31380000000001 31.7905895918071),CT,334.0
BROWNSVILLE 1 0,SILAS_RAY_CC1,POINT (-97.51060000000001 25.906623725411485),CT,53.0
DEER PARK 6,DEER_PARK_ENERGY_CENTER_CC1,POINT (-95.12381600000002 29.71411817132631),CT,504.0
ODESSA 1 9,QUAIL_RUN_ENERGY2_CC4,POINT (-102.31380000000001 31.78752961593661),CC,191.0
FREEPORT 1 5,FREEPORT_LNG_GT3,POINT (-95.3294 28.963665200993894),GT,149.0
POINT COMFORT 2 3,FORMOSA_GT1,POINT (-96.5291 28.675119310217006),GT,138.0
PASADENA 1 4,PASADENA_COGENERATION_CC2,POINT (-95.205238 29.715516828601803),CC,656.0
MIDLOTHIAN 1 0,MIDLOTHIAN_ENERGY_FACILITY_GT8,POINT (-97.04938 32.42776911654429),GT,318.0
PALO PINTO 1 4,RW_MILLER_STG_U3,POINT (-98.29770000000002 32.633091906071485),ST,250.0
MIDLOTHIAN 1 0,MIDLOTHIAN_ENERGY_FACILITY_GT2,POINT (-97.04938 32.42776911654429),GT,318.0
DALLAS 1 9,FORNEY_ENERGY_CENTER2_CC3,POINT (-96.63940400000001 32.63375697501),CC,1195.0
BAYTOWN 1 5,CEDAR_BAYOU_ST2,POINT (-94.90886 29.6653287676551),ST,902.0
SAN ANTONIO 1 4,OW_SOMMERS_STG_U1,POINT (-98.33826000000002 29.421061002726088),ST,504.0
BAYTOWN 1 6,CEDAR_BAYOU_CC1,POINT (-94.90886 29.66407749898689),CT,384.0
ENNIS 3,ENNIS_POWER_STATION_CC2,POINT (-96.66996000000002 32.3136110057127),CC,440.0
FAIRFIELD 2 3,BIG_BROWN_U1,POINT (-96.04180000000001 31.80759862623698),ST,72720.0
CORPUS CHRISTI 1 3,CORPUS_CHRISTI_CC4,POINT (-97.45170000000002 27.803551233740407),CC,521.0
GREENVILLE 1 2,POWERLANE_PLANT_STG_U2,POINT (-96.1138 33.148850423698306),ST,29.0
THOMPSONS 7,WA_PARISH_STG_U5,POINT (-95.62606 29.4724578910226),ST,806.0
ODESSA 1 5,QUAIL_RUN_ENERGY1_CC2,POINT (-102.31380000000001 31.796709239684713),CT,313.0
BRIDGEPORT 3,JACK_COUNTY_GEN_FACILITY_1_CC1,POINT (-97.90820000000001 33.180583076193095),CT,391.0
BRIDGEPORT 4,JACK_COUNTY_GEN_FACILITY_1_CC2,POINT (-97.90820000000001 33.17757000500681),CT,388.0
MARION 1 5,GUADALUPE_ENERGY_CENTER1_CC4,POINT (-98.13686 29.615324261134813),CC,664.0
DEER PARK 5,SHELL_U3,POINT (-95.12381600000002 29.715368817076214),GT,61.0
PARIS 2 3,PARIS_ENERGY_CENTER_CC2,POINT (-95.54510000000002 33.68107404267649),CC,317.0
ODESSA 1 8,QUAIL_RUN_ENERGY1_CC4,POINT (-102.3084 31.834183240019108),CC,170.0
SHERMAN 1 2,PANDA_SHERMAN_CC1,POINT (-96.60529300000002 33.56982578902888),CT,463.0
PASADENA 2 3,CHANNEL_ENERGY_CENTER1_CC1,POINT (-95.171439 29.71818454962419),CT,340.0
FRANKLIN 6,OAK_GROVE_SES_U2,POINT (-96.47400000000002 31.164128869476002),ST,102600.0
WINCHESTER 5,WINCHESTER_POWER_PARK_CTG3,POINT (-96.9749 30.0217370567636),GT,56.0
HOUSTON 6 0,GREENS_BAYOU_CC2,POINT (-95.215109 29.819702359047994),CT,106.0
BROWNSVILLE 1 0,SILAS_RAY_ST4,POINT (-97.51060000000001 25.906623725411485),ST,221.0
BAYTOWN 1 4,CEDAR_BAYOU_ST1,POINT (-94.90886 29.6665800207589),ST,900.0
GREGORY 3,INGLESIDE_CC2,POINT (-97.245817 27.8725838881357),CT,218.0
PASADENA 1 3,PASADENA_COGENERATION_CC1,POINT (-95.205238 29.71676745692711),CT,323.0
ALVIN 0,AMOCO_UNIT9,POINT (-95.18288 29.422491490378206),CC,207.0
DALLAS 2 4,MOUNTAIN_CREEK_STG_U8,POINT (-96.93076 32.713104880199),ST,682.0
AUSTIN 1 0,DECKER_CREEK_GT2,POINT (-97.838266 30.394866861665406),GT,67.0
SAN ANTONIO 1 6,JT_DEELY_U1,POINT (-98.33826000000002 29.418552395840692),ST,504.0
AUSTIN 1 0,DECKER_CREEK_ST2,POINT (-97.838266 30.394866861665406),ST,514.0
ARLINGTON 1 5,HANDLEY_STG_U4,POINT (-97.13705 32.7638928125455),ST,522.0
VICTORIA 2 3,VICTORIA_POWER1_CC1,POINT (-96.99740000000001 28.77489014082899),CC,364.0
POINT COMFORT 2 4,FORMOSA_GT2,POINT (-96.5291 28.67196078598021),GT,138.0
WHARTON 1 6,COLORADO_BEND_ENERGY_CENTER_3_CC1,POINT (-96.0557 29.265033736801307),CT,720.0
